tate_art_id,accession_number,artist,lastname,firstname,tate_artist_id,title,dateText,medium
1035,A00001,"Blake, Robert",Blake, Robert,38,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,date not known,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper"
1036,A00002,"Blake, Robert",Blake, Robert,38,"Two Drawings of Frightened Figures, Probably for The Approach of Doom",date not known,Graphite on paper
1037,A00003,"Blake, Robert",Blake, Robert,38,"The Preaching of Warning. Verso: An Old Man Enthroned Between Two Groups of Figures, by ?William Blake",?c.1785,Graphite on paper. Verso: graphite on paper
1038,A00004,"Blake, Robert",Blake, Robert,38,Six Drawings of Figures with Outstretched Arms,date not known,Graphite on paper
1039,A00005,"Blake, William",Blake, William,39,The Circle of the Lustful: Francesca da Rimini (The Whirlwind of Lover),,Line engraving on paper
1040,A00006,"Blake, William",Blake, William,39,Ciampolo the Barrator Tormented by the Devils,,Line engraving on paper
1041,A00007,"Blake, William",Blake, William,39,The Baffled Devils Fighting,,Line engraving on paper
1042,A00008,"Blake, William",Blake, William,39,The Six-Footed Serpent Attacking Agnolo Brunelleschi,,Line engraving on paper
1043,A00009,"Blake, William",Blake, William,39,The Serpent Attacking Buoso Donati,,Line engraving on paper
1044,A00010,"Blake, William",Blake, William,39,The Pit of Disease: The Falsifiers,,Line engraving on paper
1045,A00011,"Blake, William",Blake, William,39,Dante Striking against Bocca Degli Abati,,Line engraving on paper
1046,A00012,"Blake, William",Blake, William,39,Job and his Family,"1828, reprinted 1874",Line engraving on paper
1047,A00013,"Blake, William",Blake, William,39,Satan before the Throne of God,"1825, reprinted 1874",Line engraving on paper
1048,A00014,"Blake, William",Blake, William,39,Job's Sons and Daughters Overwhelmed by Satan,"1825, reprinted 1874",Line engraving on paper    
1049,A00015,"Blake, William",Blake, William,39,The Messengers tell Job of his Misfortunes,"1825, reprinted 1874",Line engraving on paper
1050,A00016,"Blake, William",Blake, William,39,"Satan Going Forth from the Presence of the Lord, and Job's Charity","1825, reprinted 1874",Line engraving on paper
1051,A00017,"Blake, William",Blake, William,39,Satan Smiting Job with Sore Boils,"1825, reprinted 1874",Line engraving on paper
1052,A00018,"Blake, William",Blake, William,39,Job's Comforters,"1825, reprinted 1874",Line engraving on paper
1053,A00019,"Blake, William",Blake, William,39,Job's Despair,"1825, reprinted 1874",Line engraving on paper
1054,A00020,"Blake, William",Blake, William,39,The Vision of Eliphaz,"1825, reprinted 1874",Line engraving on paper
1055,A00021,"Blake, William",Blake, William,39,Job Rebuked by his Friends,"1825, reprinted 1874",Line engraving on paper
1056,A00022,"Blake, William",Blake, William,39,Job's Evil Dreams,"1825, reprinted 1874",Line engraving on paper
1057,A00023,"Blake, William",Blake, William,39,The Wrath of Elihu,"1825, reprinted 1874",Line engraving on paper
1058,A00024,"Blake, William",Blake, William,39,The Lord Answering Job out of the Whirlwind,"1825, reprinted 1874",Line engraving on paper
1059,A00025,"Blake, William",Blake, William,39,When the Morning Stars Sang Together,"1825, reprinted 1874",Line engraving on paper
1060,A00026,"Blake, William",Blake, William,39,Behemoth and Leviathan,"1825, reprinted 1874",Line engraving on paper
1061,A00027,"Blake, William",Blake, William,39,The Fall of Satan,"1825, reprinted 1874",Line engraving on paper
1062,A00028,"Blake, William",Blake, William,39,The Vision of Christ,"1825, reprinted 1874",Line engraving on paper
1063,A00029,"Blake, William",Blake, William,39,Job's Sacrifice,"1825, reprinted 1874",Line engraving on paper
1064,A00030,"Blake, William",Blake, William,39,Every Man also Gave him a Piece of Money,"1825, reprinted 1874",Line engraving on paper
1065,A00031,"Blake, William",Blake, William,39,Job and his Daughters,"1825, reprinted 1874",Line engraving on paper
1066,A00032,"Blake, William",Blake, William,39,Job and his Family Restored to Prosperity,"1825, reprinted 1874",Line engraving on paper
1067,A00033,"Blake, William",Blake, William,39,Sketch for The Four and Twenty Elders Casting their Crowns before the Divine Throne. Verso: Standing Figure with Arms at his Side,,Graphite on paper. Verso: graphite on paper
1068,A00034,"Blake, William",Blake, William,39,Europe': Fragment of Pages 3 and 4,c.1830-5,Relief etching and watercolour on paper
1069,A00035,"Blake, William",Blake, William,39,Songs of Innocence and of Experience: Infant Sorrow,"1794, reprinted 1831 or later",Relief etching on paper
1070,A00036,"Blake, William",Blake, William,39,Songs of Innocence and of Experience': 'Infant Sorrow',"1794, reprinted 1831 or later",Relief etching on paper
1071,A00037,"Blake, William",Blake, William,39,Songs of Innocence and of Experience': 'Spring',"1794, reprinted 1831 or later",Relief etching on paper
1072,A00038,"Blake, William",Blake, William,39,Songs of Innocence': Title-Page,"1789, reprinted 1831 or later",Relief etching on paper
1073,A00039,"Blake, William",Blake, William,39,Songs of Innocence': Title-Page,"1789, reprinted 1831 or later",Relief etching on paper
1074,A00040,"Blake, William",Blake, William,39,Sketch for Tiriel Supporting the Dying Myratana. Verso: Sketch for Tiriel Supporting the Dying Myratana,c.1786-9,Graphite on paper. Verso: graphite on paper
1075,A00041,"Blake, William",Blake, William,39,Landscape near Felpham,c.1800,Graphite and watercolour on paper
1076,A00042,"Blake, William",Blake, William,39,Two Figures in a Decorative Border,c.1790,Graphite on paper
1077,A00043,"Blake, William",Blake, William,39,Preliminary Sketch for Christ Girding Himself with Strength. Verso: Standing Figure with One Arm Raised,c.1805-1810,Graphite on paper. Verso: graphite on paper
1078,A00044,"Blake, William",Blake, William,39,Lower Half of a Woman Playing a Harp. Verso: Seraphim and Other Drawings,"c.1785, c.?1807",Graphite on paper. Verso: graphite on paper
1079,A00045,"Blake, William",Blake, William,39,"St Christopher, Copy from an Engraving? Verso:Part of a Face: Copy from a Plaster Cast: a Daughter of Niobe?",?c.1779-80,Ink on paper. Verso: graphite on paper
1080,A00046,"Blake, William",Blake, William,39,The Crucifixion,c.1825-7,Graphite on paper
1081,A00047,"Blake, William",Blake, William,39,"Composition Sketch, Possibly a Subject from Dante. Verso: A Man Standing over a Figure Reclining on a Bed","?1824-7, ?c.1800-10",Graphite on paper. Verso: graphite on paper
1082,A00048,"Blake, William",Blake, William,39,Composition Sketch. Verso: Standing Figure Holding a Spear,c.1805-1810,Graphite on paper. Verso: graphite on paper
1083,A00049,"Blake, William",Blake, William,39,Composition Sketch for The Fall of the Rebel Angels? Verso: Standing Figure with Flaming Hair,c.1805-1810,Graphite on paper. Verso: graphite on paper
1183,A00050,"Richmond, George",Richmond, George,447,Tracing of Title-Page of Blake's 'Book of Job',,Graphite on paper
1505,A00051,British School 18th century,British School 18th century,,59,[title not known],date not known,Watercolour on paper
1506,A00052,British School 18th century,British School 18th century,,59,[title not known],date not known,Watercolour on paper
1507,A00053,British School 18th century,British School 18th century,,59,[title not known],date not known,Watercolour on paper
1508,A00054,British School 18th century,British School 18th century,,59,[title not known],date not known,Watercolour on paper
1509,A00055,British School 18th century,British School 18th century,,59,[title not known],date not known,Watercolour on paper
1510,A00056,British School 18th century,British School 18th century,,59,[title not known],date not known,Watercolour on paper
1695,A00057,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of a Woman's Head,1870,Graphite on paper
1696,A00058,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,"Study of a Sleeping Woman's Head, possibly for The Rose Bower in the Briar Rose Series",c.1871-3,Graphite on paper
1697,A00059,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of a Man's Head,1866,Graphite on paper
1698,A00060,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of a Girl's Head,1866,Graphite on paper
1699,A00061,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of a Standing Woman for 'The Passing of Venus',1877,Graphite and watercolour on paper
1700,A00062,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of a Seated Woman for 'The Passing of Venus',c.1877,Graphite and watercolour on paper
1701,A00063,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of Seated Figure for 'The Garden Court' in the 'Briar Rose' Series,c.1873,Graphite on paper
1702,A00064,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of Seated Figure for 'The Garden Court' in the 'Briar Rose' Series,c.1873,Graphite on paper
1703,A00065,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Figure Study for 'The Rose Bower' (Briar Rose Series). Verso: Study of the Head of Merlin for 'The Beguiling of Merlin',c.1872-7,Charcoal and graphite on paper. Verso: graphite on paper
1704,A00066,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Three Studies for 'The Beguiling of Merlin',c.1872-7,Graphite on paper
1705,A00067,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Studies of a Sleeve,date not known,Graphite on paper
1706,A00068,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Kneeling Woman,date not known,Chalk on paper
1707,A00069,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Stooping Woman,date not known,Chalk on paper
1708,A00070,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of a Female Head for 'The Hours',c.1872,Graphite on paper
1709,A00071,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Female Head,date not known,Graphite on paper
1710,A00072,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Ruth and Boaz,1879,Graphite on paper
1711,A00073,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,The Finding of Moses,1879,Graphite on paper
1712,A00074,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,St Alban,1875,Charcoal and graphite on paper
1713,A00075,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,St Aidan,1875,Charcoal and graphite on paper
1714,A00076,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,St Oswald,1875,Charcoal and graphite on paper
1715,A00077,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,St Boniface,1875,Charcoal and graphite on paper
1716,A00078,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of the Head of Tristram for 'The Madness of Sir Tristram',c.1862,Graphite on paper
1717,A00079,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Two Studies of Tristram for 'The Madness of Sir Tristram',c.1862,Graphite on paper
1718,A00080,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Roundel with the Head of a Warrior,c.1870-5,Graphite on paper
1719,A00081,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Roundel with the Head of a Woman,c.1870-5,Graphite on paper
1720,A00082,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Roundel with the Head of a Woman,c.1870-5,Graphite on paper
1721,A00083,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Composition Study for 'The Merciful Knight'. Verso: Study for a Nativity,c.1863,Graphite on paper. Verso: graphite on paper
20228,A00084,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Composition Study for 'The Merciful Knight'. Verso: Composition Study for 'St Valentine's Day',c.1863,Graphite on paper. Verso: graphite on paper
1722,A00085,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Composition Study for 'The Merciful Knight',c.1863,Graphite on paper
1723,A00086,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Nude Study of Knight for 'The Merciful Knight',c.1863,Graphite on paper
1724,A00087,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Nude Study of the Knight for 'The Merciful Knight',c.1863,Graphite on paper
1725,A00088,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of Knight for 'The Merciful Knight',c.1863,Graphite on paper
1726,A00089,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Nude Study of Knight for 'The Merciful Knight',c.1863,Graphite on paper
1727,A00090,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,"Study of a Seated Male Nude for 'The Liberation of St Peter' in the Church of St Michael and All Angels, Lyndhurst, Hampshire",c.1863,Graphite and chalk on paper
1728,A00091,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,"Two Studies of a Seated Male Nude for 'The Liberation of St Peter' in the Church of St Michael and All Angels, Lyndhurst, Hampshire",c.1863,Graphite and chalk on paper
1729,A00092,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study for 'Blind Love',date not known,Graphite on paper
1730,A00093,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study for 'Blind Love',date not known,Graphite on paper
1731,A00094,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of a Male Figure for 'Clerk Saunders',c.1861,Graphite on paper
1732,A00095,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of a Seated Woman for 'The Hours',c.1866,Graphite on paper
1733,A00096,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of a Reclining Figure,date not known,Graphite on paper
1734,A00097,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Head of a Girl,c.1861,Graphite on paper
1735,A00098,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Two Studies for the Head of the King in 'King Cophetua and the Beggar Maid',c.1880,Graphite on paper
1736,A00099,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Head of a Woman: ?Georgiana Burne-Jones,c.1861,Graphite on paper
20230,A00100,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of Heads for a Pietà,date not known,Graphite and chalk on paper
1737,A00101,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Head of a Girl,date not known,Graphite on paper
1738,A00102,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Figure Study,date not known,Graphite on paper
1739,A00103,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of the Head of a Female Attendant for 'The Adoration of the Kings',c.1861,Graphite on paper
20231,A00104,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study of Iseult for 'The Marriage of Sir Tristram'. Verso: Figure of Sir Tristram,c.1862,Graphite on paper. Verso: graphite on paper
1740,A00105,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Composition Study for 'Clerk Saunders',c.1861,Graphite on paper
1741,A00106,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Head of a Man,c.1861,Graphite on paper
20233,A00107,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study for Tile of the 'Story of Beauty and the Beast'. Verso: Study for 'Wine of Circe',"c.1862, c.1863",Graphite on paper. Verso: graphite on paper
1742,A00108,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Study for 'Pluto and Proserpine Listening to the Music of Orpheus',c.1875,Graphite on paper
1743,A00109,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Sketch of Two Seated Figures: 'Chant d'Amour',c.1862-5,Graphite on paper
1744,A00110,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Sketch of Two Seated Figures for ?'The Backgammon Players',?c.1861,Graphite on paper
1118,A00111,"Blake, William",Blake, William,39,Frontispiece: Thenot and Colinet,"c.1821, printed 1830",Wood engraving on paper
19411,A00112,"Blake, William",Blake, William,39,Thenot Remonstrates with Colinet,"c. 1821, printed 1830",Wood engraving on paper
19412,A00113,"Blake, William",Blake, William,39,Thenot and Colinet Converse Seated between Two Trees,"c. 1821, printed 1830",Wood engraving on paper
19413,A00114,"Blake, William",Blake, William,39,Thenot Remonstrates with Colinet; Lightfoot in the Distance,"c. 1821, printed 1830",Wood engraving on paper
19414,A00115,"Blake, William",Blake, William,39,"Thenot, with Colinet Waving his Arms in Sorrow","c. 1821, printed 1830",Wood engraving on paper
19415,A00116,"Blake, William",Blake, William,39,The Blighted Corn,"c. 1821, printed 1830",Wood engraving on paper
19416,A00117,"Blake, William",Blake, William,39,"'Nor Fox, nor Wolf, nor Rat among our Sheep'","c. 1821, printed 1830",Wood engraving on paper
19417,A00118,"Blake, William",Blake, William,39,Sabrina's Silvery Flood,"c. 1821, printed 1830",Wood engraving on paper
19418,A00119,"Blake, William",Blake, William,39,Colinet's 'Fond Desire Strange Lands to Know',"c. 1821, printed 1830",Wood engraving on paper
19419,A00120,"Blake, William",Blake, William,39,'A Rolling Stone is ever Bare of Moss',"c. 1821, printed 1830",Wood engraving on paper
19420,A00121,"Blake, William",Blake, William,39,Colinet Rests by a Stream at Night,"c. 1821, printed 1830",Wood engraving on paper
19421,A00122,"Blake, William",Blake, William,39,"Colinet with his Shepherd's Pipe, Mocked by Two Boys","c. 1821, printed 1830",Wood engraving on paper
19422,A00123,"Blake, William",Blake, William,39,'For him Our Yearly Wakes and Feasts We Hold',"c. 1821, printed 1830",Wood engraving on paper
19423,A00124,"Blake, William",Blake, William,39,Thenot and Colinet Folding their Flocks together at Sunset,"c. 1821, printed 1830",Wood engraving on paper
19424,A00125,"Blake, William",Blake, William,39,Thenot and Colinet at Supper,"c. 1821, printed 1830",Wood engraving on paper
19425,A00126,"Blake, William",Blake, William,39,'With Songs the Jovial Hinds Return from Plow',"c. 1821, printed 1830",Wood engraving on paper
19426,A00127,"Blake, William",Blake, William,39,"'And Unyok'd Heifers, Loitering Homeward, Low'","c. 1821, printed 1830",Wood engraving on paper
1762,A00128,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Studies for a Nativity,date not known,Graphite on paper
1763,A00129,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Design for a Window: Ethelbert,date not known,Graphite and watercolour on paper
1764,A00130,"Burne-Jones, Sir Edward Coley, Bt",Burne-Jones, Sir Edward Coley,68,Design for a Window: St James the Greater,date not known,Graphite and watercolour on paper
1915,A00131,"Callow, William",Callow, William,79,Frankfurt,1840,Graphite on paper
1916,A00132,"Callow, William",Callow, William,79,"Frauenkirche, Nuremberg",1846,Graphite on paper
1917,A00133,"Callow, William",Callow, William,79,Giessen,1871,Graphite on paper
1918,A00134,"Callow, William",Callow, William,79,Prague,1874,Graphite on paper
1919,A00135,"Callow, William",Callow, William,79,"Frauenkirche, Prague",1874,Graphite on paper
1920,A00136,"Callow, William",Callow, William,79,Cochem,1860,Graphite on paper
1921,A00137,"Callow, William",Callow, William,79,"Maximilianstrasse, Augsburg",date not known,Graphite on paper
1922,A00138,"Callow, William",Callow, William,79,"Haupt Markt and St Sebald, Nuremberg",1846,Graphite on paper
1923,A00139,"Callow, William",Callow, William,79,"Markt, Coburg",1863,Graphite on paper
1924,A00140,"Callow, William",Callow, William,79,Coburg,1863,Graphite on paper
1925,A00141,"Callow, William",Callow, William,79,Frankfurt,1846,Graphite on paper
1926,A00142,"Callow, William",Callow, William,79,"Rathaus, Hanover",1852,Graphite on paper
1927,A00143,"Callow, William",Callow, William,79,"Unidentified Market Place, ? Lubeck or Leipzig",1852,Graphite on paper
1928,A00144,"Callow, William",Callow, William,79,"Royal Palace, Dresden",1852,Graphite on paper
1929,A00145,"Callow, William",Callow, William,79,"Rathaus, Gotha",1852,Graphite on paper
1930,A00146,"Callow, William",Callow, William,79,"Rathaus, Eisenach",1852,Graphite on paper
1931,A00147,"Callow, William",Callow, William,79,Quai on the Moselle,1860,Graphite on paper
1932,A00148,"Callow, William",Callow, William,79,"Place St Pharailde, Ghent",1850,Graphite on paper
1933,A00149,"Callow, William",Callow, William,79,"Vegetable Market, Ghent",date not known,Graphite on paper
1934,A00150,"Callow, William",Callow, William,79,Rotterdam,1845,Graphite on paper
1935,A00151,"Callow, William",Callow, William,79,Namur,1844,Graphite on paper
1936,A00152,"Callow, William",Callow, William,79,"St Paul, Antwerp",1844,Graphite on paper
1937,A00153,"Callow, William",Callow, William,79,"Old Palais de Justice, Malines",1850,Graphite on paper
1938,A00154,"Callow, William",Callow, William,79,"St Michael and Belfry, Ghent",1844,Graphite on paper
1939,A00155,"Callow, William",Callow, William,79,Botzen,1846,Graphite on paper
1940,A00156,"Callow, William",Callow, William,79,Innsbruck,1846,Graphite on paper
1944,A00157,"Calvert, Edward",Calvert, Edward,81,The Bride,1828,Line engraving on paper
1945,A00158,"Calvert, Edward",Calvert, Edward,81,The Sheep of his Pasture,c.1828,Line engraving on paper
