A00001,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper",,,"arm/arms raised, kneeling, sitting, man, man, old, blessing",date not known
,,,,,,
A00002,"Two Drawings of Frightened Figures, Probably for ‘The Approach of Doom’",Graphite on paper,,,"comforting, embracing, recoiling, figure, group, fear",date not known
,,,,,,
A00003,"The Preaching of Warning. Verso: An Old Man Enthroned Between Two Groups of Figures, by ?William Blake",Graphite on paper. Verso: graphite on paper,,,"arm/arms raised, standing, group, man, preaching",?c.1785
,,,,,,
A00004,Six Drawings of Figures with Outstretched Arms,Graphite on paper,,,"arm/arms raised, figure, group",date not known
,,,,,,
A00005,The Circle of the Lustful: Francesca da Rimini (‘The Whirlwind of Lovers’),Line engraving on paper,,,"Dante, Francesca da Rimini, Paolo da Rimini, Virgil, ""Dante, Divine Comedy: Inferno"", aura, collapse, female, male, floating, flying, man, woman, couple, love, river, sun, whirlwind","1826–7, reprinted 1892"
,,,,,,
A00006,Ciampolo the Barrator Tormented by the Devils,Line engraving on paper,,,"""Dante, Divine Comedy: Inferno"", Hell, devil, Hell, attacking, group, male, man, pulling, standing, wounded, fire, smoke, rocky, sea, wing, hook","1826–7, reprinted 1892"
,,,,,,
A00007,The Baffled Devils Fighting,Line engraving on paper,,,"Dante, Virgil, ""Dante, Divine Comedy: Inferno"", Hell, Hell, devil, causeway, cliff, sea, wave, mountain, wing, fighting, flying, group, male, man","1826–7, reprinted 1892"
,,,,,,
A00008,The Six-Footed Serpent Attacking Agnolo Brunelleschi,Line engraving on paper,,,"""Dante, Divine Comedy: Inferno"", attacking, hill, river, sea monster, serpent, snake, female, male, man, woman, punishment, thief","1826–7, reprinted 1892"
,,,,,,
A00009,The Serpent Attacking Buoso Donati,Line engraving on paper,,,"Dante, Virgil, ""Dante, Divine Comedy: Inferno"", Hell, Hell, attacking, fire, smoke, rocky, serpent, group, hand/hands raised, standing, looking / watching, male, man, recoiling, horror, transformation, thief","1826–7, reprinted 1892"
,,,,,,
A00010,The Pit of Disease: The Falsifiers,Line engraving on paper,,,"Dante, Virgil, ""Dante, Divine Comedy: Inferno"", corpse, female, male, group, illness, man, woman, scratching, hill, rocky, pool","1826–7, reprinted 1892"
,,,,,,
A00011,Dante Striking against Bocca Degli Abati,Line engraving on paper,,,"Dante, Virgil, ""Dante, Divine Comedy: Inferno"", Hell, Hell, group, man, recoiling, walking, ice, sea","1826–7, reprinted 1892"
,,,,,,
